Company Name,Website
kimberly-clark,https://kimberly-clark.com
ackermans-and-van-haaren,https://avh.be
delta-air-lines,https://delta.com
kb-home,https://kbhome.com
dp-world,https://dpworld.com
aecon,https://aecon.com
proximus,https://proximus.be
asos,https://asos.com
barco,https://barco.com
sto,https://sto.de
silicon-labs,https://silabs.com
amadeus,https://amadeus.com
rogers-communications,https://rogers.com
morrisons,https://morrisons-corporate.com
alico,https://alicoinc.com
zscaler,https://zscaler.com
benteler,https://benteler.com
broadcom,https://broadcom.com
wilo,https://wilo.com
jsr,https://jsr.co.jp
lennox,https://lennoxinternational.com
blue-water-shipping,https://bws.net
saab,https://saab.com
puma-energy,https://pumaenergy.com
springer-nature,https://nature.com
arcelik,https://arcelikglobal.com
gap,https://gapinc.com
opentext,https://opentext.com
whirlpool,https://whirlpoolcorp.com
royal-bam,https://bam.com
evs-broadcast-equipment,https://evs.com
boston-properties,https://bxp.com
yeti-holdings,https://yeti.com
bang-and-olufsen,https://bang-olufsen.com
sig,https://sigplc.com
carbon-trust,https://carbontrust.com
heineken,https://theheinekencompany.com
tata-motors,https://tatamotors.com
axa,https://axa.com
m-and-c-saatchi,https://mcsaatchi.com
deutsche-borse,https://deutsche-boerse.com
bureau-van-dik,https://bvdinfo.com
porsche-bank,https://porschebank.at
lpp,https://lpp.com
castellum,https://castellum.com
wepa,https://wepa.eu
workspace,https://workspace.co.uk
stena,https://stenametall.com
st-jamess-place,https://sjp.co.uk
scandinavian-tobacco,https://st-group.com
six,https://six-group.com
solenis,https://solenis.com
nomad-foods,https://nomadfoods.com
eltel,https://eltelgroup.com
idemia,https://idemia.com
lindstrom,https://lindstromgroup.com
armstrong-world-industries,https://armstrongceilings.com
buro-happold,https://burohappold.com
salzgitter,https://salzgitter-ag.com
sealed-air,https://sealedair.com
south-pole,https://southpole.com
pacolet-milliken,https://pacoletmilliken.com
tate-and-lyle,https://tateandlyle.com
tokio-marine-holdings,https://tokiomarinehd.com
toshiba,https://toshiba.com
umicore,https://umicore.com
verisk-analytics,https://verisk.com
vistra,https://vistra.com
witzenmann,https://witzenmann.com
asics,https://asics.com
brother-industries,https://global.brother
workday,https://workday.com
yokogawa-electric,https://yokogawa.com
dieteren,https://dieterengroup.com
storebrand,https://storebrand.no
zumtobel,https://z.lighting
ariston-thermo,https://aristongroup.com
sudzucker,https://suedzuckergroup.com
jungbunzlauer,https://jungbunzlauer.com
workiva,https://workiva.com
costar,https://costar.com
inditex,https://inditex.com
tata-power,https://tatapower.com
stora-enso,https://storaenso.com
telia,https://teliacompany.com
jan-de-nul,https://jandenul.com
howdens-joinery,https://howdens.com
downer-edi,https://downergroup.com
vmware,https://vmware.com
forterra,https://forterra.co.uk
norfolk-southern-railway,https://nscorp.com
dah-sing-bank,https://dahsing.com
acciona,https://acciona.com
metsa,https://metsagroup.com
paragon-customer-communications,https://paragon-workplacesolutions.com
british-sky-broadcasting,https://sky.com
ceva-logistics,https://cevalogistics.com
cma-cgm,https://cma-cgm.com
wilson-james,https://wilsonjames.co.uk
j-sainsbury,https://sainsburys.co.uk
united-healthcare-insurance,https://unitedhealthgroup.com
jd-sports,https://jdplc.com
pphe-hotel,https://pphe.com
ct-property-trust,https://columbiathreadneedle.co.uk
keurig-dr-pepper,https://keurigdrpepper.com
akzonobel,https://akzonobel.com
mass-transit-railway,https://mtr.com.hk
hutchison-port-holdings,https://hutchisonports.com
generation-investment-management,https://generationim.com
odp,https://odpbusiness.com
chemours,https://chemours.com
autohaus-krauth-gmbh-and-co,https://bmw-muenchen.de
walmart,https://walmart.com
telus,https://telus.com
capitaland-ascendas-reit,https://capitaland-ascendasreit.com
mitchells-and-butlers,https://mbplc.com
zentiva,https://zentiva.com
burberry,https://burberryplc.com
goodyear-tire-and-rubber,https://corporate.goodyear.com
link,https://linkgroup.com
western-digital,https://westerndigital.com
pets-at-home,https://petsathome.com
middleby,https://middleby.com
sensus-uk,https://xylem.com
kelly-services,https://kellyservices.com
sampo,https://sampo.com
computershare,https://computershare.com
smiths,https://smiths.com
storskogen,https://storskogen.com
fortinet,https://fortinet.com
rockwool,https://rockwool.com
sysco,https://sysco.com
georg-fischer,https://georgfischer.com
danone,https://danone.com
refinitiv,https://refinitiv.com
autodesk,https://autodesk.com
international-paper,https://internationalpaper.com
autoliv,https://autoliv.com
naspers,https://naspers.com
genuit,https://genuitgroup.com
ikea,https://ikea.com
vontier,https://vontier.com
stahl-holdings-bv,https://stahl.com
eaton,https://eaton.com
storytel,https://storytel.com
empire-state-realty-trust,https://esrtreit.com
evotec,https://evotec.com
salling,https://sallinggroup.com
associated-british-foods,https://abf.co.uk
zen-internet,https://zen.co.uk
kinnevik,https://kinnevik.com
nidec,https://nidec.com
lenovo,https://lenovo.com
americold,https://americold.com
swiss-post,https://post.ch
hl-display,https://hl-display.com
wallenius-wilhelmsen,https://walleniuswilhelmsen.com
nippon-express,https://nipponexpress.com
allbirds,https://allbirds.com
vf,https://vfc.com
astellas,https://astellas.com
applied-materials,https://appliedmaterials.com
dentsu,https://dentsu.com
andersons,https://andersonsinc.com
booking-holdings,https://bookingholdings.com
hero,https://hero-group.ch
flsmidth,https://flsmidth.com
samskip,https://samskip.com
navigator,https://en.thenavigatorcompany.com
